,Language_ID,label_,outlier_prob,cluster_prob
0,p_abui1241_545,1,0.0,1.0
1,v_ache1246_1,3,0.0,1.0
2,v_afri1274_62,5,0.0,1.0
3,v_alba1267_8,4,0.0,1.0
4,p_algo1255_825,6,0.0,1.0
5,v_alya1239_9,6,0.0,1.0
6,v_amha1245_10,3,0.0,1.0
7,v_anci1242_13,5,0.0,1.0
8,p_arab1267_555,6,0.0,1.0
9,p_assi1247_788,6,0.0,1.0
10,v_asut1235_21,4,0.0,1.0
11,p_atta1244_562,1,0.0,1.0
12,p_baff1241_789,-1,0.1250000000000002,0.0
13,p_bala1310_571,0,,0.0
14,v_balo1260_39,0,,0.0
15,v_band1339_41,-1,0.09090909090909094,0.0
16,v_bann1248_42,6,0.5,0.5
17,p_bard1254_576,7,0.0,1.0
18,v_bata1285_46,6,0.0,1.0
19,v_bela1254_49,5,0.0,1.0
20,p_beng1280_790,6,0.0,1.0
21,v_bera1259_54,0,0.0,1.0
22,p_biak1248_581,-1,0.3170731707317074,0.0
23,v_bila1255_57,8,,0.0
24,p_bino1237_674,1,0.0,1.0
25,v_bret1244_63,4,0.0,1.0
26,p_brul1239_805,6,0.0,1.0
27,v_buku1249_66,4,0.0,1.0
28,v_bulg1262_67,6,0.0,1.0
29,p_burm1266_792,6,0.0,1.0
30,v_bush1247_70,5,0.0,1.0
31,p_cayu1261_794,7,0.0,1.0
32,v_cent1972_77,3,0.0,1.0
33,p_chek1238_610,-1,0.11111111111111098,0.0
34,p_chep1245_611,1,0.0,1.0
35,p_cher1273_795,6,0.39999999999999997,0.6
36,p_chic1270_797,6,0.2500000000000001,0.7499999999999999
37,v_chip1261_109,0,0.0,1.0
38,p_choc1276_799,6,0.33333333333333326,1.0
39,v_chok1245_87,8,,0.0
40,p_chuu1238_612,8,0.0,1.0
41,v_coca1259_90,4,,0.0
42,p_comm1246_812,6,0.5714285714285713,0.4285714285714286
43,p_cota1241_613,8,0.0,1.0
44,p_cree1270_802,6,0.39999999999999997,0.6
45,p_cree1272_801,6,0.0,1.0
46,p_crow1244_803,6,0.0,1.0
47,v_cube1242_97,6,0.2500000000000001,0.7499999999999999
48,v_cusc1236_99,0,,0.0
49,v_czec1258_100,5,0.0,1.0
50,p_dako1258_806,6,0.0,1.0
51,v_dani1285_102,4,0.0,1.0
52,v_dari1249_105,6,0.625,0.37499999999999994
53,p_dhuw1249_623,-1,0.5,0.0
54,v_digo1243_112,8,,0.0
