"Language_ID","feB","feZ","fFBeD","fFBeS","fFByD","fFByS","fFZeD","fFZeS","fFZyD","fFZyS","fMBeD","fMBeS","fMByD","fMByS","fMZeD","fMZeS","fMZyD","fMZyS","fyB","fyZ","meB","meZ","mFBeD","mFBeS","mFByD","mFByS","mFZeD","mFZeS","mFZyD","mFZyS","mMBeD","mMBeS","mMByD","mMByS","mMZeD","mMZeS","mMZyD","mMZyS","myB","myZ"
"p_muss1246_895","tue-","tue-","tue-","tue-","nenga-","nenga-","tue-","tue-","nenga-","nenga-","tue-","tue-","nenga-","nenga-","tue-","tue-","nenga-","nenga-","nenga-","nenga-","tue-","tue-","tue-","tue-","nenga-","nenga-","tue-","tue-","nenga-","nenga-","tue-","tue-","nenga-","nenga-","tue-","tue-","nenga-","nenga-","nenga-","nenga-"
"p_nage1237_898","na","ka'e","ka'e azi","na","ka'e azi","na","ka'e azi","li ana","ka'e azi","li ana","ka'e azi","na","ka'e azi","na","ka'e azi","na","ka'e azi","na","na","azi","ka'e","weta","weta","ka'e azi","weta","ka'e azi","weta","ka'e azi","weta","ka'e azi","ka'e","ka'e azi","azi","ka'e azi","weta","ka'e azi","weta","ka'e azi","azi","weta"
"p_namb1293_907","ane","ane","ane","ane","nngn","nngn","mwite","mwite","mwite","mwite","mwite","mwite","mwite","mwite","yakal","yakal","yakal","yakal","nngn","nngn","ane","ane","ane","ane","nngn","nngn","mwite","mwite","mwite","mwite","mwite","mwite","mwite","mwite","yakal","yakal","yakal","yakal","nngn","nngn"
"p_nenn1238_912","ane","ane","ane","ane","nngn","nngn","baba","baba","baba","baba","baba","baba","baba","baba","yakal","yakal","yakal","yakal","nngn","nngn","ane","ane","ane","ane","nngn","nngn","baba","baba","baba","baba","baba","baba","baba","baba","yakal","yakal","yakal","yakal","nngn","nngn"
"p_nenn1238_913","ane","ane","ane","ane","nngn","nngn","baba","baba","baba","baba","baba","baba","baba","baba","yakal","yakal","yakal","yakal","nngn","nngn","ane","ane","ane","ane","nngn","nngn","baba","baba","baba","baba","baba","baba","baba","baba","yakal","yakal","yakal","yakal","nngn","nngn"
"p_ngal1292_616","wulkɨn","jabok","jabok","wulkɨn","wulkɨncan","wulkɨn","birwojin","kom","birwojin","kom","birwojin","kom","birwojin","kom","jabok","wulkɨn","wulkɨncan","wulkɨn","wulkɨn","wulkɨncan","wawuɖ","jabok","jabok","wawuɖ","jabok","wulkɨn","kom","kom","kom","kom","kom","kom","kom","kom","jabok","wawuɖ","jabok","wulkɨn","wulkɨn","jabok"
"p_nucl1305_793","nǎnnǎ annǎ","nǎnnǎ ǎkkǎ","nǎnnǎ akkǎ","nǎnnǎ annǎ","nǎnǎ tungi","nǎnnǎ tǎmmǎ","nǎnnǎ attigï","nǎnnǎ bhävǎmeidǎ","nǎnnǎ nädini","nǎnnǎ bhävǎmeidǎ","nǎnnǎ nädini","nǎnnǎ bhävǎmeidǎ","nǎnnǎ nädini","nǎnnǎ bhävǎmeidǎ","nǎnnǎ akkǎ","nǎnnǎ annǎ","nǎnǎ tǎngi","nǎnnǎ tǎmmǎ","nǎnnǎ tǎmmǎ","nǎnnǎ tǎngi","nǎnnǎ annǎ","nǎnnǎ ǎkkǎ","nǎnnǎ akkǎ","nǎnnǎ annǎ","nǎnǎ tungi","nǎnnǎ tǎmmǎ","nǎnnǎ attige","nǎnnǎ bhävǎmeidǎ","nǎnnǎ nädini","nǎnnǎ bhävǎmeidǎ","nǎnnǎ nädini","nǎnnǎ bhävǎmeidǎ","nǎnnǎ nädini","nǎnnǎ bhävǎmeidǎ","nǎnnǎ akkǎ","nǎnnǎ annǎ","nǎnǎ tǎngi","nǎnnǎ tǎmmǎ","nǎnnǎ tǎmmǎ","nǎnnǎ tǎnga"
"p_nucl1653_877","ne-sǎ-zä'","ne-me-säʼ","ne-me-säʼ","ne-sǎ-zäʼ","ne-she-mäʼ","ne-she-mäʼ","n'-däʼ-nä","ne-gwis-säʼ","n'-däʼ-nä","ne-gwis-säʼ","ne-ge-ahʼ","ne-zheʼ-san","ne-ge-ahʼ","ne-zheʼ-san","ne-me-säʼ","ne-sǎ-zä'","ne-she-mäʼ","ne-she-mäʼ","ne-she-mäʼ","ne-she-mäʼ","ne-sǎ-zä'","ne-me-säʼ","ne-me-säʼ","ne-sǎ-zäʼ","ne-she-mäʼ","ne-she-mäʼ","ne-she-mis-säʼ","ne-läʼ-gwa-lis-sä","ne-she-mis-säʼ","ne-läʼ-gwa-lis-sä","ne-ge-ahʼ","ne-zheʼ-san","ne-ge-ahʼ","ne-zheʼ-san","ne-me-säʼ","ne-sǎ-zäʼ","ne-she-mäʼ","ne-she-mäʼ","ne-she-mäʼ","ne-she-mäʼ"
"p_ojib1241_844","nis-si-yǎʼ","ne-mis-sǎʼ","ne-mis-sǎʼ","nis-siʼ-yǎ","ne-she-mǎʼ","ne-she-mǎʼ","n'-dan̤-gwush-ǎʼ","ne-ne-moo-shǎʼ","n'-dan̤-gwush-ǎʼ","ne-ne-moo-shǎʼ","n'-dän̤-gwush-ǎʼ","ne-ne-moo-shǎʼ","n'-dän̤-gwush-ǎʼ","ne-ne-moo-shǎ","ne-mis-sǎʼ","nis-si-yǎʼ","ne-she-mǎʼ","ne-she-mäʼ","ne-she-mǎʼ","ne-she-mǎʼ","nis-si-yǎʼ","ne-mis-sǎʼ","n'-do-wa-mǎʼ","nis-siʼ-yǎ","n'-do-wa-mǎʼ","ne-kǎ-nisʼ","ne-ne-moo-shǎʼ","ne-täʼ-wis","ne-ne-moo-shǎʼ","ne-täʼ-wis","ne-ne-moo-shǎʼ","ne-täʼ-wis","ne-ne-moo-shǎʼ","ne-täʼ-wis","n'-do-wa-mǎʼ","ne-käʼ-nis","ne-she-mǎʼ","ne-käʼ-nis","ne-she-mǎʼ","ne-she-mǎʼ"
"p_ojib1241_845","ni-sä-yǎʼ","ne-mis-sǎʼ","ne-mis-sǎʼ","nǐ-sä-yǎʼ","ne-sheʼ-mǎ","ne-sheʼ-mǎ","n'-dä-n'-go-sha","ne-ne-moo-shǎʼ","n'-dä-n'-go-shǎʼ","ne-ne-moo-shǎʼ","n'-dä-n'-go-shǎʼ","ne-ne-moo-shǎʼ","n'-dä-n'-go-shǎʼ","ne-ne-moo-shǎ","ne-mis-sǎʼ","ni-sä-yǎʼ","ne-she-mǎʼ","ne-sheʼ-mä","ne-sheʼ-mǎ","ne-sheʼ-mǎ","ni-säʼ-yǎ","ne-mis-sǎʼ","nin-dä-waʼ-mä","nǐ-sä-yǎʼ","n'-dä-waʼ-mä","ne-kǎ-naʼ","ne-ne-moo-shǎʼ","ne-tä-wisʼ","ne-ne-moo-shǎʼ","ne-tä-wisʼ","ne-ne-moo-shǎʼ","ne-tä-wisʼ","ne-ne-moo-shǎʼ","ne-täʼ-wis","nin-dä-waʼ-mä","ne-käʼ-na","ne-sheʼ-mǎ","ne-käʼ-na","ne-sheʼ-mǎ","ne-sheʼ-mǎ"
"p_ojib1241_847","nis-säʼ-yě","ne-misʼ-sě","nǐ-misʼ-sě","nis-säʼ-yě","nǐ-shǐʼ-mě","nǐ-shǐʼ-mě","nin-dänʼ-go-she","nǐ-nǐ-meʼ-she","nin-dänʼ-go-she","nǐ-nǐ-moʼ-she","nin-dänʼ-go-she","nǐ-nǐ-moʼ-sha","nin-dänʼ-go-shě","nǐ-nǐ-moʼ-she","nǐ-misʼ-s","nis-säʼ-ye","nǐ-shǐʼ-mě","nǐ-shǐ-me","nǐ-shǐʼ-mě","nǐ-shǐʼ-mě","nis-säʼ-yě","ne-misʼ-sě","nǐ-misʼ-sě","nis-säʼ-yě","nǐ-shǐʼ-mě","nǐ-shǐʼ-mě","nǐ-nǐ-moʼ-she","nǐ-tä-wiss","nǐ-nǐ-moʼ-she","nǐ-täʼ-wiss","nǐ-nǐ-moʼ-she","nǐ-tä-wiss","nǐ-nǐ-moʼ-she","nǐ-tä-wiss","nǐ-misʼ-s","nis-säʼ-yě","nǐ-shǐʼ-mě","nǐ-shǐ-me","nǐ-shǐ-mě","nǐ-shǐʼ-mě"
"p_omah1247_849","wee-teʼ-noo","wee-zǒn̤ʼ-thǎ","wee-zǒnʼ-thä","wee-teʼ-noo","wee-tǒnʼ-ga","wee-sǒnʼ-gä","wee-zhun̤ʼ-ga","we-zhun̤ʼ-ga","wee-zhun̤ʼ-ga","we-zhin̤ʼ-ga","e-näʼ-hä","wee-näʼ-gee","e-näʼ-hä","wee-näʼ-gee","wee-zǒnʼ-thǎ","we-teʼ-noo","wee-tǒnʼ-ga","wee-sǒn̤ʼ-gä","wee-sǒn̤ʼ-gä","wee-tǒnʼ-gä","wee-zheʼ-thǎ","wee-tǒuʼ-ga","we-tǒn̤ʼ-ga","wee-teʼ-noo","we-tǒnʼ-ga","wee-sǒnʼ-gä","we-teʼ-zhä","we-toansʼ-kä","we-teʼ-zhä","we-toansʼ-kä","e-näʼ-hä","wee-näʼ-gee","e-näʼ-hä","wee-näʼ-gee","wee-tǒn̤ʼ-ga","wee-zheʼ-thǎ","wee-tǒnʼ-gä","wee-sǒn̤ʼ-gä","wee-sǒn̤ʼ-gä","wee-tǒnʼ-gä"
"p_onei1249_850","läk-jeʼ-hä","ahk-jeʼ-hä","ahk-jeʼ-hä","läk-jeʼ-hä","ka-gäʼ-ah","le-gäʼ-ah","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","ahk-jeʼ-hä","läk-jeʼ-hä","ka-gäʼ-ah","le-gäʼ-ah","le-gäʼ-ah","ka-gä-ahʼ","läk-jeʼ-hä","ahk-jeʼ-hä","ahk-jeʼ-hä","läk-jeʼ-hä","ka-gäʼ-ah","le-gäʼ-ah","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","un-gǎ-läʼ-seh","ahk-jeʼ-hä","läk-jeʼ-hä","ka-gäʼ-ah","le-gäʼ-ah","le-gäʼ-hä","ka-gä-ahʼ"
"p_onon1246_851","kuh-jeʼ-ah","uh-jeʼ-ah","uh-jeʼ-ah","kuh-jeʼ-ah","kaʼ-gǎ","haʼ-gǎ","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","uh-jeʼ-ah","kuh-jeʼ-ah","kaʼ-gǎ","haʼ-gǎ","haʼ-gǎ","kaʼ-gǎ","kuh-jeʼ-ah","uh-jeʼ-ah","uh-jeʼ-ah","kuh-jeʼ-ah","kaʼ-gǎ","haʼ-gǎ","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","ah-gareʼ-seh","uh-jeʼ-ah","kuh-jeʼ-ah","kaʼ-gǎ","haʼ-gǎ","haʼ-gǎ","kaʼ-gǎ"
"p_osag1243_852","we-chinʼ-to","we-shoʼ-la","we-shoʼ-ka","we-chinʼ-to","we-tunʼ-ka","we-sonʼ-kä","we-shonʼ-ka","we-shenʼ-kä","we-shonʼ-ka","we-shénʼ-kä","in-nahʼ","we-jaʼ-ga","in-nahʼ","we-jaʼ-ga","we-shoʼ-la","we-chinʼ-to","we-tunʼ-ka","we-sonʼkä","we-sonʼ-kä","we-tunʼ-ka","we-sheʼ-lä","we-tunʼ-ka","we-tunʼ-ka","we-chinʼ-to","we-tunʼ-ka","we-sonʼ-kä","we-cheʼ-zho","we-choseʼ-kä","we-cheʼ-zho","we-choseʼ-kǎ","in-nahʼ","we-jaʼ-ga","in-nahʼ","we-jaʼ-ga","we-tunʼ-ka","we-sheʼ-lä","we-tunʼ-ka","we-sonʼ-kä","we-sonʼ-kä","we-tunʼ-ka"
"p_otoo1241_853","hee-yeʼ-nä","heen-tangʼ-a","heen-tängʼ-a","hee-yeʼ-nä","heen-tänʼ-gǎ","e-chunʼ-cha","he-yun̤ʼ-ga","he-neʼ-cha","he-yun̤ʼ-ga","he-neʼ-cha","heʼ-nah","hin-chäʼ-kä","heʼ-nah","hin-chäʼ-kä","heen-tänʼ-ga","he-yeʼ-nä","heen-tänʼ-gǎ","e-chunʼ-che","e-chunʼ-che","heen-tauʼ-gǎ","hee-yeʼ-nä","wau-heʼ-cha","wau-heʼ-cha","hee-yeʼ-nä","heen-tauʼ-gǎ","heen-thunʼ-ga","hin-toseʼ-kee-me","hin-toseʼ-kee","hin-tose-kee-me","hin-teseʼ-kee","heʼ-nah","hin-chäʼ-kä","heʼ-nah","hin-chäʼ-kä","wau-heʼ-cha","he-yeʼ-nä","heen-tan̤ʼ-gǎ","heen-thunʼ-ga","heen-thunʼ-ga","heen-tan̤ʼ-gǎ"
"p_otta1242_854","n'-sǎʼ-yǎ","n'-misʼ-sǎ","n'-dä-kwamʼ","n'-sǎʼ-yǎ","n'-da-kwamʼ","n'-sheʼ-mǎ","n'-dä-kwamʼ","ne-neʼ-moo-shǎʼ","n'-dä-kwamʼ","ne-neʼ-moo-shǎʼ","n'-dä-kwamʼ","ne-ne-moo-shǎʼ","n'-dä-kwamʼ","ne-ne-moo-shǎ","n'-misʼ-sǎ","n'-sǎʼ-yǎ","n'-sheʼ-mǎ","ne-sheʼ-mǎ","n'-sheʼ-mǎ","n'-sheʼ-mǎ","n'-sǎʼ-yǎ","n'-misʼ-sǎ","n'-dä-wa-mäʼ","n'-sǎʼ-yǎ","n'-dä-wa-mǎʼ","ne-kǎʼ-na","ne-ne-moo-shǎʼ","ne-täʼ-wis","ne-ne-moo-shǎʼ","ne-täʼ-wis","ne-ne-moo-shǎʼ","ne-täʼ-wis","ne-ne-moo-shǎʼ","ne-täʼ-wis","n'-dä-wa-mäʼ","ne-käʼ-nǎ","n'-sheʼ-mǎ","ne-käʼ-nǎ","n'-sheʼ-mǎ","n'-sheʼ-mǎ"
"p_owaa1237_931","wafaisina","kafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","wafaisina","kafaisina","wafaisina","kafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","kafaisina","wafaisina","wafaisina","kafaisina"
"p_pawn1254_814","ta-läʼ-lik-tis","a-täʼ-he","a-täʼ-he","ta-läʼ-lik-tis","a-täʼ-he","käʼ-we-ta","a-teʼ-rä","ah-teʼ-ase","a-teʼ-rä","ah-teʼ-ase","peʼ-row","peʼ-row","peʼ-row","peʼ-row","a-täʼ-he","ta-läʼ-lik-tis","a-täʼ-he","kä-weʼ-ta","käʼ-we-ta","a-täʼ-he","a-däʼ-de","a-täʼ-he","a-täʼ-he","ta-läʼ-lik-tis","a-täʼ-ke","a-däʼ-de","a-teʼ-rä","a-teʼ-ase","a-teʼ-rä","ah-teʼ-ase","peʼ-row","peʼ-row","peʼ-row","peʼ-row","a-täʼ-he","a-däʼ-de","a-täʼ-ke","a-däʼ-he","a-däʼ-de","a-täʼ-ke"
"p_pawn1254_862","e-rats-teh","e-däʼ-deh","e-däʼ-deh","e-tatsʼ-teh","e-däʼ-deh","e-ratsʼ-teh","ah-teʼ-rä","ah-teʼ-is","ah-teʼ-rä","ah-teʼ-is","peʼ-row","peʼ-row","peʼ-row","peʼ-row","e-däʼ-deh","e-rats-teh","e-däʼ-deh","e-ratsʼ-teh","e-ratsʼ-teh","e-däʼ-deh","e-däʼ-deh","e-täʼ-heh","e-täʼ-heh","e-tatsʼ-teh","e-täʼ-heh","e-tatsʼ-deh","ah-teʼ-rä","ah-teʼ-is","ah-teʼ-rä","ah-teʼ-is","peʼ-row","peʼ-row","peʼ-row","peʼ-row","e-täʼ-heh","e-däʼ-deh","e-täʼ-heh","e-däʼ-deh","e-däʼ-deh","e-täʼ-heh"
"p_penr1237_944","tua-hine","tua-kana","tua-kana","tua-hine","teina","tua-hine","tua-kana","tua-hine","teina","tua-hine","tua-kana","tua-hine","teina","tua-hine","tua-kana","tua-hine","teina","tua-hine","tua-hine","teina","tua-kana","tua-ngane","tua-ngane","tua-kana","tua-ngane","teina","tua-ngane","tua-kana","tua-ngane","teina","tua-ngane","tua-kana","tua-ngane","teina","tua-ngane","tua-kana","tua-ngane","teina","teina","tua-ngane"
"p_peor1238_855","ne-sanʼ-zä","ne-mis-säʼ","ne-mis-säʼ","ne-sanʼ-zä","ne-sheʼ-mä","ne-sheʼ-mä","nin-däʼ-nä","nin̤-gwa-säʼ","nin-däʼ-nä","nin̤-gwa-säʼ","nin̤-ge-ahʼ","ne-zheʼ-sä","nin̤-ge-ahʼ","ne-zheʼ-sä","ne-mis-säʼ","ne-sanʼ-zä","ne-she-mäʼ","ne-she-mäʼ","ne-she-mäʼ","ne-she-mäʼ","ne-sanʼ-zä","ne-misʼ-säʼ","ne-mis-säʼ","ne-sanʼ-zä","ne-sheʼ-mä","ne-sheʼ-mä","ne-sheʼ-mis-säʼ","ne-lǎʼ-gwä-la-säʼ","ne-sheʼ-mis-säʼ","ne-lǎʼ-gwä-la-säʼ","nin̤-ge-ahʼ","ne-zheʼ-sä","nin̤-ge-ahʼ","ne-zheʼ-sä","ne-mis-säʼ","ne-sanʼ-zä","ne-sheʼ-mä","ne-sheʼ-mä","ne-she-mäʼ","ne-she-mäʼ"
"p_pieg1239_857","neese-säʼ","nee-misʼ-tä","nee-misʼ-tä","neese-säʼ","ne-sisʼ-sä","nis-kunʼ-ä","neʼ-misʼ-tä","n'-doʼ-te-ke-manʼ","neʼ-sisʼ-sä","n'-do-to-ke-manʼ","ne-wäʼ-toase","n'-doʼ-to-ke-manʼ","ne-wäʼ-toase","n'-do-to-ke-manʼ","nee-misʼ-tä","neese-säʼ","ne-sisʼ-sä","nis-kunʼ-ä","nis-kunʼ-ä","ne-sisʼ-sä","neese-säʼ","nee-misʼ-tä","nee-misʼ-tä","neese-säʼ","ne-sisʼ-sä","nis-kunʼ-ä","neʼ-tä-kame","n'-to-tes-tä-moʼ","neʼ-tä-kame","n'-toʼ-tes-ta-mo","n'-do-to-ke-manʼ","n'-to-tes-tä-moʼ","n'-doʼ-to-ke-manʼ","n'-to-tes-tä-mo","nee-misʼ-tä","neese-säʼ","ne-sisʼ-sä","nis-kunʼ-ä","nis-kunʼ-ä","ne-sisʼ-sä"
"p_plai1258_858","neese-taseʼ","ne-misʼ","ne-misʼ","neese-taseʼ","ne-seʼ-mis","ne-semeʼ","n'-jäʼ-koase","neeʼ-che-moos","n'-jäʼ-koase","neeʼ-che-moos","n'-jäʼ-koase","neeʼ-che-moos","n'-jäʼ-koase","neeʼ-che-moos","ne-misʼ","neese-taseʼ","ne-shemeʼ","ne-semeʼ","ne-semeʼ","ne-shemeʼ","neese-taseʼ","ne-misʼ","ne-misʼ","neese-taseʼ","ne-seʼ-mis","ne-semeʼ","neeʼ-che-moos","neesʼ-chäs","neeʼ-che-moos","neeseʼ-chäs","neeʼ-che-moos","neest-chäsʼ","neeʼ-che-moos","neest-chäsʼ","ne-misʼ","neese-taseʼ","ne-shemeʼ","ne-semeʼ","ne-semeʼ","ne-shemeʼ"
"p_ponc1241_860","ton-noʼ-hä","zhon-daʼ-hä","thon-daʼ-hä","ton-noʼ-hä","we-haʼ","kä-gaʼ","win-noʼ-ga","nis-seʼ-hä","win-noʼ-ga","nis-seʼ-hä","näʼ-hä","na-geʼ-hä","näʼ-hä","na-geʼ-hä","zhon-daʼ-hä","ton-noʼ-hä","we-haʼ","kä-gaʼ","kä-gaʼ","we-haʼ","zhin-däʼ-hä","ton-gaʼ-hä","ton-gaʼ-hä","ton-noʼ-hä","we-haʼ","kä-gaʼ","tä-zhäʼ-hä","we-toashʼ-kä","tä-zhäʼ-hä","we-toashʼ-kä","näʼ-hä","na-geʼ-hä","näʼ-hä","na-geʼ-hä","ton-gaʼ-hä","zhin-daʼ-hä","we-haʼ","kä-gaʼ","kä-gaʼ","wee-haʼ"
"p_pwoo1239_822","y' wai-po-knwä","y' waí-po-mu","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' pu-po-khwä","y' pu-po-mu","y' wai-po-knwä","y' waí-po-mu","y' t'-khwä-mǔ","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' t'-khwä-mu","y' t'-khwä-sau","y' pu-po-khwǎ","y' pu-po-mu"
"p_raka1237_959","tua-ngane","tua-kana","tua-kana","tua-ngane","teina","tua-ngane","tua-kana","tua-ngane","teina","tua-ngane","tua-kana","tua-ngane","teina","tua-ngane","tua-kana","tua-ngane","teina","tua-ngane","tua-ngane","teina","tua-kana","tua-hine","tua-hine","tua-kana","tua-hine","teina","tua-hine","tua-kana","tua-hine","teina","tua-hine","tua-kana","tua-hine","teina","tua-hine","tua-kana","tua-hine","teina","teina","tua-hine"
"p_rapa1245_930","tu'aane","tua'ana","tua'ana","tu'aane","teina","tu'aane","tua'ana","tu'aane","teina","tu'aane","tua'ana","tu'aane","teina","tu'aane","tua'ana","tu'aane","teina","tu'aane","tu'aane","teina","tua'ana","tauahine","tauahine","tua'ana","tauahine","teina","tauahine","tua'ana","tauahine","teina","tauahine","tua'ana","tauahine","teina","tauahine","tua'ana","tauahine","teina","teina","tauahine"
"p_rotu1241_968","sagavane","sasigi","sasigi","sagavane","sasiga","sagavane","sasigi","sagavane","sasiga","sagavane","sasigi","sagavane","sasiga","sagavane","sasigi","sagavane","sasiga","sagavane","sagavane","sasiga","sasigi","saghani","saghani","sasigi","saghani","sasiga","saghani","sasigi","saghani","sasiga","saghani","sasigi","saghani","sasiga","sasigi","sasigi","sasiga","sasiga","sasiga","saghani"
"p_saaa1241_972","waiwinik","selak","selak","waiwinik","selak","waiwinik","utnak","utnak","utnak","utnak","utnak","utnak","utnak","utnak","selak","waiwinik","selak","waiwinik","waiwinik","selak","selak","wainik","wainik","selak","wainik","selak","utnak","utnak","utnak","utnak","utnak","utnak","utnak","utnak","wainik","watok","wainik","waisisik","selak","wainik"
"p_sang1321_975","ima","ifü","ifü","ima","ini","ini","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","ini","ini","ima","ifü","ifü","ima","ini","ini","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","kitrum","ini","ini"
"p_sara1326_976","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek","flanek"
"p_sene1264_864","häʼ-je","ahʼ-je","ahʼ-je","häʼ-je","kaʼ-gǎ","haʼ-gǎ","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ahʼ-je","häʼ-je","kaʼ-gǎ","haʼ-gǎ","haʼ-gǎ","kaʼ-gǎ","häʼ-je","ahʼ-je","ahʼ-je","häʼ-je","kaʼ-gǎ","haʼ-gǎ","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ah-gǎreʼ-seh","ahʼ-je","häʼ-je","kaʼ-gǎ","haʼ-gǎ","haʼ-gǎ","kaʼ-gǎ"
"p_sgaw1245_823","yǎ way-khwǎ","yǎ way-mu","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ pu-khwǎ","yǎ pu-mu","yǎ way-khwǎ","yǎ way-mu","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ tǎ-khwǎ-mu","yǎ tǎ-khwǎ","yǎ pu-khwǎ","yǎ pu-mu"
"p_shaw1249_865","n'-tha-thäʼ","nǐ-mǐ-thäʼ","n'-cha-ne-uäʼ","nos-keʼ-mä","n'-cha-ne-näʼ","nǒs-ke-mäʼ","nǐ-tä-na-thäʼ","ne-kwe-thǎʼ","nǐ-tä-na-thäʼ","ne-kwe-thäʼ","na-ke-͡ahʼ","nǐ-sǐ-thäʼ","na-ke-͡ahʼ","nǐ-sǐ-thäʼ","nǐ-mǐ-thäʼ","n'-tha-thäʼ","n'-the-ma-thäʼ","n'-the-ma-thäʼ","n'-the-ma-thäʼ","n'-the-ma-thäʼ","n'-tha-thäʼ","nǐ-mǐ-thäʼ","net-kwaʼ-mä","nos-keʼ-mä","net-kwaʼ-mä","n'-cha-ne-näʼ","ne-sa-me-thäʼ","na-la-gwal-thäʼ","ne-sa-me-thäʼ","na-la-gwal-thäʼ","na-ke-͡ahʼ","nǐ-sǐ-thäʼ","na-ke-͡ahʼ","nǐ-sǐ-thäʼ","nǐ-mǐ-thǎʼ","n'-tha-thäʼ","n'-the-ma-thäʼ","n'-the-ma-thäʼ","n'-the-ma-thäʼ","n'-the-ma-thäʼ"
