"Language_ID","feB","feZ","fFBeD","fFBeS","fFByD","fFByS","fFZeD","fFZeS","fFZyD","fFZyS","fMBeD","fMBeS","fMByD","fMByS","fMZeD","fMZeS","fMZyD","fMZyS","fyB","fyZ","meB","meZ","mFBeD","mFBeS","mFByD","mFByS","mFZeD","mFZeS","mFZyD","mFZyS","mMBeD","mMBeS","mMByD","mMByS","mMZeD","mMZeS","mMZyD","mMZyS","myB","myZ"
"p_bino1237_674","manong","manang","manang","manong","inaqodi","inaqodi","manang","manong","inaqodi","inaqodi","manang","manong","inaqodi","inaqodi","manang","manong","inaqodi","inaqodi","inaqodi","inaqodi","manong","manang","manang","manong","inaqodi","inaqodi","manang","manong","inaqodi","inaqodi","manang","manong","inaqodi","inaqodi","manang","manong","inaqodi","inaqodi","inaqodi","inaqodi"
"p_brul1239_805","tib-a-loʼ","chu-aʼ","chu-aʼ","tib-a-loʼ","me-tonkʼ-ä","me-sunkʼ-ä-lä","cha-päʼ-she","she-chaʼ-she","cha-päʼ-she","she-chaʼ-she","cha-päʼ-she","she-chaʼ-she","cha-päʼ-she","she-chaʼ-she","chu-aʼ","tib-a-loʼ","me-tonkʼ-ä","me-sunkʼ-ä-lä","me-sunkʼ-ä-lä","me-tonkʼ-ä","me-cheʼ-a","tonk-aʼ","tonk-aʼ","tib-a-loʼ","me-tunkʼ-she","me-sunkʼ-ä-lä","hun-käʼ-she","täʼ-häʼ-she","hun-käʼ-she","tä-häʼ-she","hun-käʼ-she","täʼ-häʼ-she","hun-käʼ-she","täʼ-häʼ-she","tonk-aʼ","me-cheʼ-a","me-tunkʼ-she","me-sunkʼ-ä-lä","me-sunkʼ-ä-lä","me-tänkʼ-she"
"p_burm1266_792","k : mo-ung ky-ee","k : e-mǎ´","k : e-ma","k : e-ko","k : hwee-mǎ","k : ny-ee-twa","k : e-maʼ","k : e-ko-tau","k : hne-nǎ","k : ny-ee-tau","k : e-mǎ","k : e-ko´","k : ny-ee-nǎ","k : ny-ee´","k : e-mǎ´","k : e-ko","k : my-ee-mǎ´","k : ny-ee","k : mo-ung ga-ta´","k : ny-ee-mǎ","k : e-ko","k : e-mǎ´","k : e-ma","k : e-ko","k : hwee-mǎ","k : ny-ee-twa","k : e-maʼ","k : e-ko-tau","k : hne-nǎ","k : ny-ee-tau","k : e-mǎ","k : e-ko´","k : ny-ee-nǎ","k : ny-ee´","k : e-mǎ´","k : e-ko","k : my-ee-mǎ´","k : ny-ee","k : ny-eé","k : hnee-mǎ"
"p_cayu1261_794","kuh-jeʼ-ah","uh-jeʼ-ah","uh-jeʼ-ah","kuh-jeʼ-ah","ka-gǎʼ-ah","ha-gǎʼ-ah","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","uh-jeʼ-ah","kuh-jeʼ-ah","ka-gǎʼ-ah","ha-gǎʼ-ah","ha-gǎʼ-ah","ka-gǎʼ-ah","kuh-jeʼ-ah","uh-jeʼ-ah","uh-jeʼ-ah","kuh-jeʼ-ah","ka-gǎʼ-ah","ha-gǎʼ-ah","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","ah-ge-ahʼ-seh","uh-jeʼ-ah","kuh-jeʼ-ah","ka-gǎʼ-ah","ha-gǎʼ-ah","ha-gǎʼ-ah","ka-gǎʼ-ah"
"p_chek1238_610","ḡregagna","tigagna","tigagna","ḡregagna","tahigna","ḡregagna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","tigagna","ḡregagna","tahigna","ḡregagna","ḡregagna","tahigna","tigagna","ḡregagna","ḡregagna","tigagna","ḡregagna","tahigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","fakarhaigna","ḡregagna","tigagna","ḡregagna","tahigna","tahigna","ḡregagna"
"p_chep1245_611","ʔa.pu","ʔa.nya","puʔ","puʔ","həw","həw","puʔ","puʔ","həw","həw","puʔ","puʔ","həw","həw","puʔ","puʔ","həw","həw","həw","həw.dyaŋ","ʔa.pu","ʔa.nya","puʔ","puʔ","həw","həw","puʔ","puʔ","həw","həw","puʔ","puʔ","həw","həw","puʔ","puʔ","həw","həw","həw","həw.dyaŋ"
"p_cher1273_795","un̤-gǐ-dauʼ","un̤-gǐ-lun̤ʼ-ǐ","un̤-gǐ-lun̤ʼ-ǐ","un̤-gǐ-nǐ-lǐ","un̤-gǐ-lun̤ʼ-ǐ","un̤-gǐ-dauʼ","e-hlanʼ-gǐ","e-dau-däʼ","e-hlanʼ-gǐ","e-dau-däʼ","a-gwae-tsiʼ","a-gwae-tsǐʼ","a-gwae-tsiʼ","a-gwae-tsǐʼ","un̤-gǐ-lǔn̤ʼ-ǐ","un̤-gǐ-dauʼ","un-gǐ-lun̤ʼ-ǐ","un̤-gǐ-danʼ","un̤-gǐ-dauʼ","un̤-gǐ-lun̤ʼ-ǐ","un̤-gǐ-nǐ-lǐ","un̤-gǐ-dauʼ","un̤-gǐ-dauʼ","un̤-gǐ-nǐ-lǐ","un̤-gǐ-dauʼ","un̤-gǐ-nun̤ʼ-tlǐ","e-hlanʼ-gǐ","e-dau-däʼ","e-hlanʼ-gǐ","e-dau-däʼ","a-gwae-tsiʼ","a-gwae-tsǐʼ","a-gwae-tsiʼ","a-gwae-tsǐʼ","un-gi-dauʼ","un-gǐ-nǐʼ-lǐ","un̤-gǐ-dauʼ","un̤-gǐ-nun̤ʼ-tlě","un̤-gǐ-nun̤ʼ-tlǐ","un̤-gǐ-dauʼ"
"p_chic1270_797","a-näkʼ-fǐ","anʼ-tikʼ-bä","et-e-bäʼ-pǐ-shǐ-lǐ","a-näkʼ-fi","et-e-bäʼ-pǐ-shǐ-lǐ","a-näkʼ-fǐ","hap-poʼ-sǐ","ang-kǐ","hap-poʼ-sǐ","ang-kǐ","supʼ-pok","supʼ-pok-näkʼ-nǐ","supʼ-pok","supʼ-pok-näkʼ-nǐ","et-e-bäʼ-pǐ-shǐ-lǐ","a-näkʼ-fǐ","et-e-bäʼ-pǐ-shǐ-lǐ","a-näkʼ-fǐ","a-näkʼ-fǐ","sä-näkʼ-fish","au-tikʼ-bä","anʼ-take","anʼ-take","a-näkʼ-fi","anʼ-take","et-e-bäʼ-pǐ-shǐ-lǐ","hap-poʼ-sǐ","ang-kǐ","hap-poʼ-sǐ","ang-kǐ","su-sohʼ-take","suʼ-soh","su-sohʼ-take","suʼ-soh","anʼ-take","et-e-bäʼ-pǐ-shǐ-lǐ","anʼ-take","et-e-bäʼ-pǐ-shǐ-lǐ","sä-näkʼ-fish","anʼ-take"
"p_choc1276_799","a-näkʼ-fǐ","um-unʼ-nǐ","um-nuʼ-nǐ","a-näkʼ-fǐ","suh-näkʼ-fish","a-näkʼ-fǐ","up-pucʼ-ne","aʼ-kǐ","up-pukʼ-ne","aʼ-kǐ","suh-suhʼ-take","suhʼ-sǔh","suh-suhʼ-take","suhʼ-sǔh","um-unʼ-nǐ","a-näkʼ-fǐ","suh-näkʼ-fish","a-näkʼ-fǐ","a-nakʼ-fǐ","suh-näkʼ-fish","um-unʼ-nǐ","anʼ-take","anʼ-take","a-näkʼ-fǐ","anʼ-take","suh-näkʼ-fish","a-hucʼ-ne","aʼ-kǐ","a-hucʼ-ne","aʼ-kǐ","suh-suhʼ-take","suhʼ-sǔh","suh-suhʼ-take","suhʼ-sǔh","anʼ-take","um-unʼ-nǐ","anʼ-take","suh-näkʼ-fish","suh-näkʼ-fish","anʼ-take"
"p_choc1276_800","a-näkʼ-fǐ","um-unʼ-nǐ","et-e-bäʼ-pǐ-shǐ-lǐ","a-näkʼ-fǐ","et-e-bäʼ-pǐ-shǐ-lǐ","a-näkʼ-fǐ","ushʼ-kǐ","aʼ-kǐ","ushʼ-kǐ","aʼ-kǐ","suhʼ-sohʼ-take","suhʼ-soh","suhʼ-sohʼ-take","suhʼ-soh","um-unʼ-nǐ","a-näkʼ-fǐ","sä-näkʼ-fish","a-näkʼ-fǐ","a-nakʼ-fǐ","sä-näkʼ-fish","um-unʼ-nǐ","anʼ-take","anʼ-take","a-näkʼ-fǐ","anʼ-take","et-e-bäʼ-pǐ-shǐ-lǐ","ushʼ-kǐ","aʼ-kǐ","ushʼ-kǐ","aʼ-kǐ","suhʼ-sohʼ-take","suhʼ-soh","suhʼ-sohʼ-take","suhʼ-soh","anʼ-take","um-unʼ-nǐ","anʼ-take","sä-näkʼ-fish","sä-näkʼ-fish","anʼ-take"
